Observed Reentry Date (UTC),Object Name,International Designator,SSN,TLE Epoch (UTC),Aerospace Reentry Prediction (UTC),Aerospace Stated Uncertainty 20% Rule (+/- hrs),Country of Origin,Type,Sighting Location,Sighting Latitude,Sighting Longitude,Debris Recovery Location,Recovery Latitude,Recovery Longitude
N/A,STARLINK-31915,2024-093Q,59796,2024-06-03T09:05:24.400896Z,2024-06-04T22:15:06.390000Z,8.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,XJS D,2020-014B,45250,2024-06-04T02:56:37.371264Z,2024-06-04T04:01:05.680000Z,1.0,PEOPLES REPUBLIC OF CHINA,Payload,,,,,,
N/A,CZ-2D DEB,2023-145C,57888,2024-06-03T07:42:36.660960Z,2024-06-03T11:00:37.570000Z,1.0,PEOPLES REPUBLIC OF CHINA,Debris,,,,,,
N/A,STARLINK-1825,2020-073BE,46722,2024-05-31T15:18:29.339712Z,2024-05-31T17:02:38.460000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-31525,2024-036D,59001,2024-06-01T09:04:00.624000Z,2024-06-01T11:28:23.150000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CZ-2D DEB,2023-130D,57730,2024-05-29T13:19:16.187808Z,2024-05-29T19:09:27.150000Z,2.0,PEOPLES REPUBLIC OF CHINA,Debris,,,,,,
N/A,STARLINK-5116,2022-125BC,54014,2024-05-24T19:18:17.152416Z,2024-05-24T22:29:19.200000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-4124,2022-086D,53245,2024-05-25T16:54:18.330048Z,2024-05-25T23:02:40.340000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-3939,2022-051N,52545,2024-05-25T12:46:44.233824Z,2024-05-25T14:36:03.960000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2758,2021-044A,48638,2024-05-25T09:12:55.854720Z,2024-05-25T10:26:21.660000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2548,2021-036K,48285,2024-05-24T22:00:00.000288Z,2024-05-25T02:51:30.130000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,SL-6 R/B(2),1981-009D,12159,2024-05-24T18:06:02.021184Z,2024-05-24T21:32:40.390000Z,1.0,COMMONWEALTH OF INDEPENDENT STATES,Rocket Body,,,,,,
N/A,STARLINK-1584,2020-055T,46044,2024-05-24T03:33:40.493376Z,2024-05-24T06:28:56.800000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-5378,2023-046AZ,56139,2024-05-24T04:12:16.212096Z,2024-05-24T13:19:42.360000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-3353,2022-001E,50807,2024-05-24T09:03:44.124192Z,2024-05-24T11:15:07.930000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2167,2021-041G,48559,2024-05-24T02:28:23.938176Z,2024-05-24T05:24:05.400000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2341,2021-018H,47794,2024-05-24T06:52:14.154816Z,2024-05-24T07:55:54.720000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2544,2021-036X,48297,2024-05-22T08:44:43.929312Z,2024-05-22T13:35:14.300000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,ISS DEB (SPX-28 IPA FSE),1998-067VP,57212,2024-05-22T10:35:37.060224Z,2024-05-22T18:56:06.130000Z,2.0,UNITED STATES OF AMERICA,Debris,,,,,,
N/A,STARLINK-2653,2021-044AD,48665,2024-05-22T12:18:08.487072Z,2024-05-22T17:36:46.700000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2248,2021-041AQ,48591,2024-05-22T11:50:26.342016Z,2024-05-22T14:43:51.780000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2215,2021-041Q,48567,2024-05-22T13:54:01.363680Z,2024-05-22T15:38:47Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-5157,2022-125J,53972,2024-05-23T06:26:36.580416Z,2024-05-23T10:33:02.260000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1613,2020-057BA,46165,2024-05-20T00:46:55.471872Z,2024-05-20T05:28:56.790000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,APEX,1994-046A,23191,2024-05-22T00:40:07.483296Z,2024-05-22T03:49:50.120000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
2024-05-22T00:00:00Z,DRAGON ENDURANCE 3 DEB,2023-128B,59227,2024-05-21T19:00:54.779616Z,2024-05-21T20:37:10.240000Z,1.0,UNITED STATES OF AMERICA,Debris,,,,Canton NC USA,35.582,-82.869
N/A,XJS H,2020-032B,45612,2024-05-21T10:10:49.329120Z,2024-05-21T20:59:22.160000Z,3.0,PEOPLES REPUBLIC OF CHINA,Payload,,,,,,
N/A,AXIOM-2 DEB,2023-070B,56751,2023-08-11T18:27:10.845792Z,2023-08-11T20:46:22.620000Z,1.0,UNITED STATES OF AMERICA,Debris,,,,,,
N/A,STARLINK-31109,2023-211W,58687,2024-05-17T12:49:03.729216Z,2024-05-18T16:50:30.880000Z,6.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1851,2020-074AW,46783,2024-05-19T23:37:55.203744Z,2024-05-20T11:37:32.310000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-3263,2021-125AS,50196,2024-05-20T12:08:13.688736Z,2024-05-20T14:11:12.080000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2011,2021-005B,47350,2024-05-20T09:34:56.426880Z,2024-05-20T13:14:21.420000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-3108,2021-104AH,49439,2024-05-16T13:55:50.472192Z,2024-05-16T17:37:12.920000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1576,2020-055P,46040,2024-05-20T07:59:19.679424Z,2024-05-20T10:56:48.810000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2269,2021-040V,48447,2024-05-16T11:32:24.410976Z,2024-05-16T15:20:06.840000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-5105,2022-125AP,54001,2024-05-15T19:23:31.053120Z,2024-05-15T21:16:09.790000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,VTM R/B,2023-019E,55566,2024-05-15T01:56:38.870880Z,2024-05-15T12:10:06.420000Z,3.0,INDIA,Rocket Body,,,,,,
N/A,STARLINK-2532,2021-036AJ,48308,2024-05-15T01:42:16.085664Z,2024-05-15T04:14:05.610000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2154,2021-017V,47741,2024-05-15T06:48:01.766592Z,2024-05-15T10:57:23.660000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1119,2020-001Q,44928,2024-05-15T02:08:24.044352Z,2024-05-15T07:03:30.840000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2729,2021-040C,48430,2024-05-15T06:43:31.171296Z,2024-05-15T08:07:47.200000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1126,2020-001AP,44951,2024-05-14T18:53:55.150368Z,2024-05-14T23:55:11.120000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2233,2021-041AC,48579,2024-05-14T16:15:58.229856Z,2024-05-15T03:58:00.960000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2376,2021-021BH,47915,2024-05-14T22:37:24.330144Z,2024-05-15T02:57:38.170000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2527,2021-036BA,48324,2024-05-14T12:35:42.493632Z,2024-05-14T18:23:22.870000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2274,2021-041AY,48599,2024-05-14T10:58:39.213120Z,2024-05-14T13:39:49.700000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2601,2021-038AH,48384,2024-05-12T03:57:12.216672Z,2024-05-12T07:35:54.370000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CZ-2D DEB,2023-106B,57453,2024-05-11T19:44:12.780096Z,2024-05-11T23:46:11.190000Z,1.0,PEOPLES REPUBLIC OF CHINA,Debris,,,,,,
N/A,DRAGON CRS-30 DEB,2024-054B,59630,2024-05-13T00:12:44.440416Z,2024-05-13T00:23:35.690000Z,1.0,UNITED STATES OF AMERICA,Debris,,,,,,
N/A,STARLINK-30293,2023-122T,57649,2024-05-08T13:28:17.266080Z,2024-05-08T17:41:44.080000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-5563,2023-046AV,56135,2024-05-04T09:58:48.290016Z,2024-05-04T15:28:05.120000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CZ-2F R/B,2024-078B,59592,2024-05-06T07:23:03.532128Z,2024-05-06T13:16:17.060000Z,2.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,STARLINK-3097,2021-104AS,49448,2024-05-04T19:08:15.923328Z,2024-05-04T20:45:43.730000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,ASAP-S,2019-092C,44875,2024-05-04T18:31:00.826176Z,2024-05-04T20:45:57.920000Z,1.0,FRANCE,Payload,,,,,,
N/A,STARLINK-2256,2021-041AX,48598,2024-05-04T11:51:57.081024Z,2024-05-04T13:48:36.800000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-5370,2023-046BF,56145,2024-05-04T09:55:33.477024Z,2024-05-04T12:19:48.760000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,SL-4 R/B,2023-209B,58659,2024-05-03T14:19:45.880320Z,2024-05-03T18:32:22.810000Z,1.0,COMMONWEALTH OF INDEPENDENT STATES,Rocket Body,,,,,,
N/A,STARLINK-1290,2020-019AJ,45392,2024-05-02T17:26:19.148064Z,2024-05-02T19:35:12.360000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-30901,2023-177A,58351,2024-05-01T21:14:07.979712Z,2024-05-02T05:12:24.920000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,UMBRA-2001,2021-059AD,48906,2024-04-30T15:03:43.392384Z,2024-04-30T17:54:25.130000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CZ-2C R/B,2022-082D,53131,2024-04-30T17:42:51.810624Z,2024-04-30T19:10:39.240000Z,1.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,ARIANE 44L R/B,2003-007B,27684,2024-04-22T17:04:10.895808Z,2024-04-25T03:47:01.920000Z,12.0,FRANCE,Rocket Body,,,,,,
N/A,STARLINK-3228,2021-115H,49731,2024-04-27T11:50:26.958048Z,2024-04-27T12:30:10.500000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-3581,2022-017AQ,51806,2024-04-30T11:45:21.434688Z,2024-04-30T19:13:24.740000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CZ-2D R/B,2023-106D,57455,2024-04-28T01:09:36.435168Z,2024-04-28T11:20:38.150000Z,3.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,ELECTRON R/B,2024-077C,59589,2024-04-29T02:50:23.596224Z,2024-04-29T05:43:23.410000Z,1.0,UNITED STATES OF AMERICA,Rocket Body,,,,,,
N/A,H-2A R/B,2018-021B,43224,2024-04-27T02:14:25.153152Z,2024-04-27T04:27:42.120000Z,1.0,JAPAN,Rocket Body,,,,,,
N/A,CZ-2C R/B,2020-021D,45463,2024-04-25T06:57:07.867296Z,2024-04-25T07:36:53.640000Z,1.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,CZ-2C R/B,2023-069D,56734,2024-04-23T09:04:26.042016Z,2024-04-23T17:02:55.230000Z,2.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,DELTA 4 R/B,2011-011B,37378,2024-04-22T14:41:21.479424Z,2024-04-22T18:02:41.720000Z,1.0,UNITED STATES OF AMERICA,Rocket Body,,,,,,
N/A,H-2A R/B,2020-009B,45166,2024-04-22T20:47:46.176288Z,2024-04-22T21:24:44.350000Z,1.0,JAPAN,Rocket Body,,,,,,
N/A,STARLINK-1529,2020-055AS,46067,2024-04-22T03:58:36.676128Z,2024-04-22T10:30:04.200000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CZ-11H R/B,2022-126C,54022,2024-04-21T09:30:11.129760Z,2024-04-21T11:30:45.710000Z,1.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,YAOGAN-35 02C,2022-068C,52909,2024-04-18T23:21:44.925696Z,2024-04-19T01:53:52.080000Z,1.0,PEOPLES REPUBLIC OF CHINA,Payload,,,,,,
N/A,STARLINK-2300,2021-024BC,48027,2024-04-11T08:04:43.486752Z,2024-04-11T10:07:23.610000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,AIST 2D,2016-026B,41465,2024-04-15T03:17:41.459424Z,2024-04-15T04:58:11.160000Z,1.0,COMMONWEALTH OF INDEPENDENT STATES,Payload,,,,,,
N/A,STARLINK-5234,2022-141AS,54197,2024-04-14T18:22:22.102176Z,2024-04-15T00:44:03.380000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,SL-4 R/B,2023-165B,58149,2024-04-12T17:54:31.026816Z,2024-04-12T22:55:09.060000Z,2.0,COMMONWEALTH OF INDEPENDENT STATES,Rocket Body,,,,,,
N/A,QPS-SAR-2 IZANAMI,2021-006CA,47485,2024-04-11T11:56:46.654944Z,2024-04-11T14:23:19.370000Z,1.0,JAPAN,Payload,,,,,,
N/A,XJS E,2020-014C,45251,2024-04-09T12:48:37.592352Z,2024-04-09T20:13:56.080000Z,2.0,PEOPLES REPUBLIC OF CHINA,Payload,,,,,,
N/A,UMBRA-03,2022-057X,52753,2024-04-07T18:28:56.836992Z,2024-04-07T22:10:54.570000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,OBJECT B,2023-199B,58587,2024-04-06T20:43:30.935136Z,2024-04-07T12:05:27.510000Z,4.0,PEOPLES REPUBLIC OF CHINA,Unknown,,,,,,
N/A,SL-3 R/B,1970-113B,4814,2024-04-06T00:23:20.039424Z,2024-04-06T04:15:24.310000Z,1.0,COMMONWEALTH OF INDEPENDENT STATES,Rocket Body,,,,,,
N/A,COSMOS 1633,1985-020A,15592,2024-04-05T09:29:08.318688Z,2024-04-05T11:38:49.800000Z,1.0,COMMONWEALTH OF INDEPENDENT STATES,Payload,,,,,,
N/A,STARLINK-31352,2024-041T,59091,2024-04-04T07:48:00.449280Z,2024-04-06T03:45:49.820000Z,9.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,SZ-15 MODULE,2022-162C,56873,2024-04-01T14:07:36.509664Z,2024-04-02T08:33:58.430000Z,4.0,PEOPLES REPUBLIC OF CHINA,Payload,,,,,,
N/A,FALCON 9 R/B,2022-153C,54248,2024-03-29T20:37:42.381120Z,2024-03-30T05:44:13.980000Z,2.0,UNITED STATES OF AMERICA,Rocket Body,,,,,,
N/A,CZ-2C R/B,2024-048B,59229,2024-03-29T20:28:16.435200Z,2024-03-30T00:28:36.790000Z,1.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,CAPELLA-6 (WHITNEY),2021-041BE,48605,2024-03-29T10:49:46.075872Z,2024-03-29T14:47:16.620000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-3686,2022-041U,52279,2024-03-30T16:25:53.753952Z,2024-03-30T17:34:02.950000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1024,2019-074S,44729,2024-03-28T03:12:28.388160Z,2024-03-28T06:30:08.280000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2445,2021-027T,48109,2024-03-26T23:15:12.019968Z,2024-03-27T04:53:50.270000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1550,2020-062AS,46365,2024-03-26T22:48:26.178336Z,2024-03-27T08:36:04.060000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CZ-2D R/B,2024-052G,59286,2024-03-22T16:43:19.305408Z,2024-03-23T02:11:55.520000Z,2.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,SL-4 R/B,2024-055B,59295,2024-03-25T04:44:35.141280Z,2024-03-25T10:35:45.820000Z,2.0,COMMONWEALTH OF INDEPENDENT STATES,Rocket Body,,,,,,
N/A,PSLV R/B,2024-001B,58695,2024-03-12T19:56:55.440672Z,2024-03-21T11:09:23.650000Z,42.0,INDIA,Rocket Body,,,,,,
N/A,OBJECT K,2024-024K,58926,2024-03-17T12:16:37.913088Z,2024-03-17T13:34:57.380000Z,1.0,TO BE DETERMINED/UNKNOWN,Unknown,,,,,,
N/A,SL-24 DEB,2005-031E,28813,2024-03-11T17:41:42.744192Z,2024-03-11T19:06:07.240000Z,1.0,COMMONWEALTH OF INDEPENDENT STATES,Debris,,,,,,
N/A,CZ-2F R/B,2023-195B,58574,2024-03-10T11:28:45.588288Z,2024-03-10T14:33:11.990000Z,1.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,HARBINGER,2019-026E,44229,2024-03-08T17:36:22.739328Z,2024-03-09T04:07:08.840000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1521,2020-038AQ,45768,2024-03-09T04:32:47.230656Z,2024-03-09T06:43:02.600000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
2024-03-08T19:34:00Z,ISS DEB (EP BATTERY),1998-067RZ,47853,2024-03-08T16:48:24.548832Z,2024-03-08T20:09:58.570000Z,1.0,JAPAN,Debris,NASA ARES,24.273945,-83.179773,"Naples, Florida, United States",26.142,-81.796
N/A,STARLINK-1747,2020-070AP,46569,2024-03-07T12:53:51.812736Z,2024-03-07T14:14:21.630000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,ELECTRON R/B,2024-034C,58994,2024-03-06T01:15:11.138400Z,2024-03-06T02:03:10.530000Z,1.0,UNITED STATES OF AMERICA,Rocket Body,,,,,,
N/A,COSMOS 2574 DEB,2023-209C,59022,2024-03-04T23:29:41.828640Z,2024-03-05T04:35:53.740000Z,2.0,COMMONWEALTH OF INDEPENDENT STATES,Debris,,,,,,
N/A,SL-4 R/B,2023-182B,58436,2024-03-02T17:40:39.196992Z,2024-03-02T19:15:55.930000Z,1.0,COMMONWEALTH OF INDEPENDENT STATES,Rocket Body,,,,,,
N/A,METEOR 1-29,1979-005A,11251,2024-03-01T21:10:07.964832Z,2024-03-01T22:13:19.120000Z,1.0,COMMONWEALTH OF INDEPENDENT STATES,Payload,,,,,,
N/A,STARLINK-5505,2023-094AT,57259,2024-03-01T03:19:09.609888Z,2024-03-02T08:45:49.450000Z,6.0,UNITED STATES OF AMERICA,Payload,,,,,,
2024-04-28T00:00:00Z,AXIOM-3 DEB,2024-014B,58953,2024-02-26T08:24:04.808160Z,2024-02-26T11:01:52.040000Z,1.0,UNITED STATES OF AMERICA,Debris,,,,"Ituna, Saskatchewan Canada (found later)",51.17,-103.496
N/A,OBJECT B,2018-102B,43832,2024-02-21T20:20:35.117088Z,2024-02-21T21:32:54.060000Z,1.0,TO BE DETERMINED/UNKNOWN,Unknown,,,,,,
N/A,ERS 2,1995-021A,23560,2024-02-21T15:49:35.026752Z,2024-02-21T17:12:19Z,1.0,EUROPEAN SPACE AGENCY,Payload,,,,,,
N/A,STARLINK-3303,2021-125G,50162,2024-02-18T05:02:23.112672Z,2024-02-18T07:00:58.340000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CZ-2D R/B,2023-006D,55245,2024-02-17T02:58:34.150368Z,2024-02-17T07:13:50.830000Z,1.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,SL-4 R/B,2024-029B,58962,2024-02-16T19:35:40.187040Z,2024-02-17T01:51:07.620000Z,2.0,COMMONWEALTH OF INDEPENDENT STATES,Rocket Body,,,,,,
N/A,AGILE,2007-013A,31135,2024-02-08T00:00:00Z,2024-02-14T00:28:23.760000Z,29.0,ITALY,Payload,,,,,,
N/A,STARLINK-1195,2020-006BL,45102,2024-02-14T20:42:52.600320Z,2024-02-15T04:47:28.680000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CARTOSAT 2AT,2007-001B,29710,2024-02-14T06:22:15.999744Z,2024-02-14T09:56:31.750000Z,1.0,INDIA,Payload,,,,,,
N/A,KZ-1A R/B,2023-205E,58649,2024-02-14T00:19:39.545760Z,2024-02-14T01:25:24.880000Z,1.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,MINOTAUR R/B,2017-050G,42927,2024-02-12T03:15:20.446848Z,2024-02-12T23:34:56.780000Z,5.0,UNITED STATES OF AMERICA,Rocket Body,,,,,,
N/A,CZ-2F R/B,2022-093B,53358,2024-02-12T06:52:08.385888Z,2024-02-12T07:55:29.660000Z,1.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,TYVAK-1015 (TANTRUM),2023-202A,58616,2024-02-10T11:27:44.872416Z,2024-02-10T15:10:29.350000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,OBJECT K,2021-033K,48257,2024-02-09T07:07:22.965312Z,2024-02-09T10:02:26.690000Z,1.0,PEOPLES REPUBLIC OF CHINA,Unknown,,,,,,
N/A,STARLINK-1086,2020-001BC,44964,2024-02-02T12:52:45.449760Z,2024-02-02T17:21:03.410000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,DRAGON ENDEAVOUR 4 DEB,2023-027B,57799,2024-02-04T18:12:50.852160Z,2024-02-04T19:05:19.080000Z,1.0,UNITED STATES OF AMERICA,Debris,,,,,,
N/A,CZ-3B R/B,2021-124B,50006,2024-02-03T04:31:03.999936Z,2024-02-03T14:35:32.940000Z,3.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,STARLINK-1774,2020-073L,46680,2024-01-27T17:40:28.078176Z,2024-01-28T18:15:25.600000Z,5.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CZ-7 R/B,2024-013B,58812,2024-01-27T14:25:15.232800Z,2024-01-27T22:43:24.270000Z,2.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,STARLINK-30337,2023-129J,57706,2024-01-26T23:52:17.494752Z,2024-01-27T01:32:43.430000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1410,2020-035BA,45705,2024-01-20T03:54:58.471200Z,2024-01-20T07:08:07.900000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,CZ-11H R/B,2023-206D,58653,2024-01-18T01:11:20.739840Z,2024-01-18T09:08:49.650000Z,2.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,ARIANE 5 DEB (SYLDA),2017-059D,42953,2024-01-16T23:32:57.324192Z,2024-01-19T10:24:47.170000Z,12.0,FRANCE,Debris,,,,,,
N/A,FIREFLY ALPHA R/B,2023-202B,58617,2024-01-19T08:17:17.954016Z,2024-01-19T14:19:40.230000Z,2.0,UNITED STATES OF AMERICA,Rocket Body,,,,,,
N/A,KZ-1A R/B,2024-008B,58757,2024-01-14T19:21:50.593248Z,2024-01-14T20:29:42Z,1.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,CZ-7A R/B,2023-169B,58205,2024-01-14T00:44:24.155232Z,2024-01-14T01:35:36.190000Z,1.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,KZ-1A R/B,2024-004E,58704,2024-01-15T22:54:41.817888Z,2024-01-15T23:06:00.890000Z,1.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,H-2A DEB,2018-084D,43674,2024-01-13T16:10:53.048640Z,2024-01-13T17:39:20.660000Z,1.0,JAPAN,Debris,,,,,,
N/A,STARLINK-1261,2020-025AS,45571,2024-01-12T05:31:44.469120Z,2024-01-12T09:38:34.160000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2451,2021-027Y,48114,2024-01-11T09:29:28.470624Z,2024-01-11T12:34:14.680000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-2390,2021-018Y,47809,2024-01-10T18:32:45.448800Z,2024-01-11T07:07:52.170000Z,3.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,DRAGON CRS-29 DEB,2023-173B,58641,2024-01-10T22:07:46.195680Z,2024-01-10T23:32:25.480000Z,1.0,UNITED STATES OF AMERICA,Debris,,,,,,
N/A,KZ-1A R/B,2023-208E,58664,2024-01-04T04:12:51.788160Z,2024-01-04T06:54:28.330000Z,1.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,STARLINK-31130,2023-211A,58667,2024-01-04T11:03:33.933024Z,2024-01-04T16:28:25.020000Z,2.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-1124,2020-001AR,44953,2023-12-30T11:19:07.760640Z,2023-12-30T15:08:00.210000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,STARLINK-3787,2022-041S,52277,2023-12-30T06:02:15.974592Z,2023-12-30T08:51:33.850000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,FALCON 9 R/B,2015-010C,40426,2023-12-16T22:12:02.503872Z,2023-12-18T03:16:12.450000Z,6.0,UNITED STATES OF AMERICA,Rocket Body,,,,,,
N/A,DELTA 2 R/B(1),1993-007B,22447,2023-12-22T10:29:59.271648Z,2023-12-22T17:42:57.880000Z,2.0,UNITED STATES OF AMERICA,Rocket Body,,,,,,
N/A,STARLINK-1070,2020-001AU,44956,2023-12-21T23:23:26.774880Z,2023-12-22T03:29:01.990000Z,1.0,UNITED STATES OF AMERICA,Payload,,,,,,
N/A,OBJECT G,2019-089G,44858,2023-12-23T15:27:30.011040Z,2023-12-23T22:58:09.320000Z,2.0,TO BE DETERMINED/UNKNOWN,Unknown,,,,,,
N/A,ISS DEB (SPX-26 IPA FSE),1998-067VB,55448,2023-12-23T14:31:26.190336Z,2023-12-23T22:07:22.880000Z,2.0,UNITED STATES OF AMERICA,Debris,,,,,,
N/A,CZ-2C R/B,2018-011E,43173,2023-12-22T15:50:26.598912Z,2023-12-23T01:35:32.200000Z,2.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
N/A,KALAMSAT-V2/PSLV,2019-006B,43948,2023-12-21T15:37:28.882272Z,2023-12-21T19:00:41.690000Z,1.0,INDIA,Payload,,,,,,
N/A,SS3 R/B,2023-019D,55565,2023-12-21T02:12:35.360352Z,2023-12-21T05:20:02.760000Z,1.0,INDIA,Rocket Body,,,,,,
N/A,CZ-3B R/B,2019-012B,44068,2023-12-16T04:30:15.164928Z,2023-12-16T07:38:09.720000Z,1.0,PEOPLES REPUBLIC OF CHINA,Rocket Body,,,,,,
